product_name,product_category,product_id,event_time
chocolate sandwich cookies,cookies cakes,P1,2023-05-22T14:22:58.775Z
all-seasons salt,spices seasonings,P2,2023-05-22T14:22:58.775Z
robust golden unsweetened oolong tea,tea,P3,2023-05-22T14:22:58.775Z
smart ones classic favorites mini rigatoni with vodka cream sauce,frozen meals,P4,2023-05-22T14:22:58.775Z
pure coconut water with orange,juice nectars,P5,2023-05-22T14:22:58.775Z
light strawberry blueberry yogurt,yogurt,P6,2023-05-22T14:22:58.775Z
peach mango juice,refrigerated,P7,2023-05-22T14:22:58.775Z
pomegranate cranberry & aloe vera enrich drink,juice nectars,P8,2023-05-22T14:22:58.775Z
tri-vi-sol® vitamins a-c-and d supplement drops for infants,vitamins supplements,P9,2023-05-22T14:22:58.775Z
salted caramel lean protein & fiber bar,energy granola bars,P10,2023-05-22T14:22:58.775Z
"three cheese ziti, marinara with meatballs",frozen meals,P11,2023-05-22T14:22:58.775Z
nacho cheese white bean chips,chips pretzels,P12,2023-05-22T14:22:58.775Z
traditional lasagna with meat sauce savory italian recipes,frozen meals,P13,2023-05-22T14:22:58.775Z
noodle soup mix with chicken broth,soup broth bouillon,P14,2023-05-22T14:22:58.775Z
organic sourdough einkorn crackers rosemary,crackers,P15,2023-05-22T14:22:58.775Z
biotin 1000 mcg,vitamins supplements,P16,2023-05-22T14:22:58.775Z
sa extra hold mousse hair styling,hair care,P17,2023-05-22T14:22:58.775Z
whole leaf pure aloe with lemon juice,juice nectars,P18,2023-05-22T14:22:58.775Z
lasting color shampoo,hair care,P19,2023-05-22T14:22:58.775Z
ramen noodles soup chicken mushroom flavor,soup broth bouillon,P20,2023-05-22T14:22:58.775Z
banana & sweet potato organic teething wafers,baby food formula,P21,2023-05-22T14:22:58.775Z
autumn vegetable & turkey dinner with lil' bits purees dinner,baby food formula,P22,2023-05-22T14:22:58.775Z
vanilla with almond milk iced coffee,coffee,P23,2023-05-22T14:22:58.775Z
coconut chocolate chip energy bar,energy granola bars,P24,2023-05-22T14:22:58.775Z
nutter butter cookie bites go-pak,cookies cakes,P25,2023-05-22T14:22:58.775Z
blakes chicken parmesan dinner,frozen meals,P26,2023-05-22T14:22:58.775Z
all natural 100% apple juice,juice nectars,P27,2023-05-22T14:22:58.775Z
classics earl grey tea,tea,P28,2023-05-22T14:22:58.775Z
probiotics high potency capsules,vitamins supplements,P29,2023-05-22T14:22:58.775Z
kind prenatal once daily,vitamins supplements,P30,2023-05-22T14:22:58.775Z
organic blueberry blitz fruit & veggie smoothie mashups,baby food formula,P31,2023-05-22T14:22:58.775Z
organic chamomile lemon tea,tea,P32,2023-05-22T14:22:58.775Z
peanut butter & strawberry jam sandwich,frozen meals,P33,2023-05-22T14:22:58.775Z
danish butter cookies,cookies cakes,P34,2023-05-22T14:22:58.775Z
sprouted kale cracker,crackers,P35,2023-05-22T14:22:58.775Z
high fiber tomato basil soup,soup broth bouillon,P36,2023-05-22T14:22:58.775Z
organic yummy tummy maple & brown sugar instant oatmeal,baby food formula,P37,2023-05-22T14:22:58.775Z
light savory beef barley vegetable soup,soup broth bouillon,P38,2023-05-22T14:22:58.775Z
sharp cheddar,packaged cheese,P39,2023-05-22T14:22:58.775Z
sun cups dark chocolate,candy chocolate,P40,2023-05-22T14:22:58.775Z
traditional chicken & orzo with lemon soup,soup broth bouillon,P41,2023-05-22T14:22:58.775Z
vanilla milk chocolate almond ice cream bars multi-pack,ice cream ice,P42,2023-05-22T14:22:58.775Z
yogurt strawberry pomegranate,yogurt,P43,2023-05-22T14:22:58.775Z
simple,candy chocolate,P44,2023-05-22T14:22:58.775Z
chips onion chipotle garlic,chips pretzels,P45,2023-05-22T14:22:58.775Z
restaurant style organic chia & quinoa tortilla chips,chips pretzels,P46,2023-05-22T14:22:58.775Z
coarse grind garlic powder & parsley blend,spices seasonings,P47,2023-05-22T14:22:58.775Z
traditional water crackers,crackers,P48,2023-05-22T14:22:58.775Z
"calcium adult gummy vitamins, orange cherry & strawberry",vitamins supplements,P49,2023-05-22T14:22:58.775Z
peanut butter cacao quinoa clusters,energy granola bars,P50,2023-05-22T14:22:58.775Z
garlic parmesan pita bread chips,chips pretzels,P51,2023-05-22T14:22:58.775Z
halves & pieces walnuts,baking ingredients,P52,2023-05-22T14:22:58.775Z
extra sharp cheddar cheese,packaged cheese,P53,2023-05-22T14:22:58.775Z
single herbs ginkgo leaf dietary supplement,vitamins supplements,P54,2023-05-22T14:22:58.775Z
gluten free all natural chocolate chip cookies,cookies cakes,P55,2023-05-22T14:22:58.775Z
citrus terere yerba mate,tea,P56,2023-05-22T14:22:58.775Z
simply beyond black bean tortilla chips,chips pretzels,P57,2023-05-22T14:22:58.775Z
cookie dough performance energy,energy granola bars,P58,2023-05-22T14:22:58.775Z
