customer_id,sex,is_married,event_time,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-plus,n_days_active
C1,0,0,2023-05-22T14:15:48.008Z,0,0,0,1,0,0,0.02602739726027392
C2,1,0,2023-05-22T14:15:48.010Z,1,0,0,0,0,0,0.07739726027397265
C3,0,1,2023-05-22T14:15:48.013Z,0,0,0,0,1,0,0.8212328767123287
C4,1,1,2023-05-22T14:15:48.015Z,0,0,0,1,0,0,0.8876712328767122
C5,0,1,2023-05-22T14:15:48.017Z,0,1,0,0,0,0,0.26575342465753415
C6,0,1,2023-05-22T14:15:48.019Z,1,0,0,0,0,0,0.13013698630136983
C7,1,1,2023-05-22T14:15:48.020Z,0,0,0,0,1,0,0.7705479452054795
C8,0,0,2023-05-22T14:15:48.023Z,0,0,0,0,0,1,0.45136986301369864
C9,1,0,2023-05-22T14:15:48.025Z,0,0,0,0,0,1,0.21575342465753433
C10,1,1,2023-05-22T14:15:48.027Z,0,0,0,1,0,0,0.5068493150684932
C11,0,0,2023-05-22T14:15:48.029Z,0,0,0,0,1,0,0.3013698630136987
C12,0,0,2023-05-22T14:15:48.031Z,1,0,0,0,0,0,0.3226027397260274
C13,0,0,2023-05-22T14:15:48.033Z,0,1,0,0,0,0,0.9965753424657535
C14,1,1,2023-05-22T14:15:48.034Z,0,1,0,0,0,0,0.14863013698630134
C15,1,1,2023-05-22T14:15:48.037Z,0,0,0,0,1,0,0.6410958904109589
C16,0,1,2023-05-22T14:15:48.041Z,0,0,0,0,0,1,0.8993150684931508
C17,1,0,2023-05-22T14:15:48.045Z,0,0,0,1,0,0,0.43904109589041096
C18,0,0,2023-05-22T14:15:48.047Z,0,0,1,0,0,0,0.11712328767123292
C19,1,1,2023-05-22T14:15:48.051Z,0,1,0,0,0,0,0.7897260273972602
C20,0,1,2023-05-22T14:15:48.054Z,1,0,0,0,0,0,0.019178082191780854
C21,1,1,2023-05-22T14:15:48.056Z,0,0,0,0,0,1,0.4438356164383561
C22,1,1,2023-05-22T14:15:48.057Z,1,0,0,0,0,0,0.46643835616438345
C23,0,1,2023-05-22T14:15:48.059Z,0,0,0,0,1,0,0.19041095890410964
C24,0,0,2023-05-22T14:15:48.062Z,1,0,0,0,0,0,0.7897260273972602
