customer_id,sex,is_married,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-plus,n_days_active,has_kids,event_time
C1,0,0,0,0,0,1,0,0,0.0260273972602739,0,2023-05-22T22:07:50.082Z
C2,1,0,1,0,0,0,0,0,0.0773972602739726,0,2023-05-22T22:07:50.082Z
C3,0,1,0,0,0,0,1,0,0.8212328767123287,1,2023-05-22T22:07:50.082Z
C4,1,1,0,0,0,1,0,0,0.8876712328767122,1,2023-05-22T22:07:50.082Z
C5,0,1,0,1,0,0,0,0,0.2657534246575341,1,2023-05-22T22:07:50.082Z
C6,0,1,1,0,0,0,0,0,0.1301369863013698,1,2023-05-22T22:07:50.082Z
C7,1,1,0,0,0,0,1,0,0.7705479452054795,0,2023-05-22T22:07:50.082Z
C8,0,0,0,0,0,0,0,1,0.4513698630136986,0,2023-05-22T22:07:50.082Z
C9,1,0,0,0,0,0,0,1,0.2157534246575343,1,2023-05-22T22:07:50.082Z
C10,1,1,0,0,0,1,0,0,0.5068493150684932,1,2023-05-22T22:07:50.082Z
C11,0,0,0,0,0,0,1,0,0.3013698630136987,1,2023-05-22T22:07:50.082Z
C12,0,0,1,0,0,0,0,0,0.3226027397260274,0,2023-05-22T22:07:50.082Z
C13,0,0,0,1,0,0,0,0,0.9965753424657536,0,2023-05-22T22:07:50.082Z
C14,1,1,0,1,0,0,0,0,0.1486301369863013,1,2023-05-22T22:07:50.082Z
C15,1,1,0,0,0,0,1,0,0.6410958904109589,1,2023-05-22T22:07:50.082Z
C16,0,1,0,0,0,0,0,1,0.8993150684931508,0,2023-05-22T22:07:50.082Z
C17,1,0,0,0,0,1,0,0,0.4390410958904109,0,2023-05-22T22:07:50.082Z
C18,0,0,0,0,1,0,0,0,0.1171232876712329,0,2023-05-22T22:07:50.082Z
C19,1,1,0,1,0,0,0,0,0.7897260273972602,0,2023-05-22T22:07:50.082Z
C20,0,1,1,0,0,0,0,0,0.0191780821917808,1,2023-05-22T22:07:50.082Z
C21,1,1,0,0,0,0,0,1,0.4438356164383561,0,2023-05-22T22:07:50.082Z
C22,1,1,1,0,0,0,0,0,0.4664383561643834,0,2023-05-22T22:07:50.082Z
C23,0,1,0,0,0,0,1,0,0.1904109589041096,0,2023-05-22T22:07:50.082Z
C24,0,0,1,0,0,0,0,0,0.7897260273972602,1,2023-05-22T22:07:50.082Z
C25,0,1,1,0,0,0,0,0,0.1726027397260274,0,2023-05-22T22:07:50.082Z
C26,1,0,0,0,0,1,0,0,0.6986301369863013,0,2023-05-22T22:07:50.082Z
C27,0,1,0,0,0,0,0,1,0.2198630136986301,0,2023-05-22T22:07:50.082Z
C28,1,0,0,1,0,0,0,0,0.073972602739726,0,2023-05-22T22:07:50.083Z
C29,1,1,1,0,0,0,0,0,0.7123287671232876,1,2023-05-22T22:07:50.083Z
C30,0,0,1,0,0,0,0,0,0.7308219178082191,0,2023-05-22T22:07:50.083Z
C31,1,1,0,1,0,0,0,0,0.6308219178082193,1,2023-05-22T22:07:50.083Z
C32,1,1,0,1,0,0,0,0,0.3452054794520547,0,2023-05-22T22:07:50.083Z
C33,1,0,1,0,0,0,0,0,0.5123287671232877,0,2023-05-22T22:07:50.083Z
C34,1,1,0,0,0,1,0,0,0.9513698630136986,1,2023-05-22T22:07:50.083Z
C35,1,0,0,0,0,0,0,1,0.0253424657534246,1,2023-05-22T22:07:50.083Z
C36,0,1,0,0,0,0,0,0,0.560958904109589,0,2023-05-22T22:07:50.083Z
C37,1,0,0,0,0,0,0,1,0.7157534246575343,0,2023-05-22T22:07:50.083Z
C38,0,1,0,0,0,1,0,0,0.1910958904109589,0,2023-05-22T22:07:50.083Z
C39,0,1,0,0,0,0,0,1,0.3616438356164384,0,2023-05-22T22:07:50.083Z
C40,0,0,1,0,0,0,0,0,0.9465753424657536,0,2023-05-22T22:07:50.083Z
C41,0,1,0,0,0,1,0,0,0.2226027397260273,0,2023-05-22T22:07:50.083Z
C42,1,1,0,0,0,0,1,0,0.8178082191780822,1,2023-05-22T22:07:50.083Z
C43,1,0,0,0,0,0,0,1,0.8068493150684932,1,2023-05-22T22:07:50.083Z
C44,1,0,0,0,0,0,0,1,0.2534246575342465,0,2023-05-22T22:07:50.083Z
C45,0,1,0,0,1,0,0,0,0.1863013698630136,1,2023-05-22T22:07:50.083Z
C46,0,0,0,0,0,0,0,1,0.9712328767123288,0,2023-05-22T22:07:50.083Z
C47,0,0,0,0,0,0,0,1,0.7554794520547945,0,2023-05-22T22:07:50.083Z
C48,0,0,0,0,0,1,0,0,0.228082191780822,1,2023-05-22T22:07:50.083Z
C49,1,1,1,0,0,0,0,0,0.9465753424657536,0,2023-05-22T22:07:50.083Z
C50,1,0,0,0,0,0,1,0,0.3643835616438355,0,2023-05-22T22:07:50.083Z
C51,0,1,0,0,0,0,0,1,0.8267123287671232,1,2023-05-22T22:07:50.083Z
C52,0,0,0,0,0,0,0,1,0.665068493150685,1,2023-05-22T22:07:50.083Z
C53,0,0,0,0,0,0,0,1,0.1993150684931506,0,2023-05-22T22:07:50.083Z
